drive,date,frames,source_split,proposed_split
2011_09_26_drive_0011_sync,2011_09_26,223,train,CALIBRATION
2011_09_26_drive_0028_sync,2011_09_26,420,train,CALIBRATION
2011_09_26_drive_0032_sync,2011_09_26,380,train,CALIBRATION
2011_09_26_drive_0084_sync,2011_09_26,373,train,CALIBRATION
2011_09_28_drive_0016_sync,2011_09_28,176,train,CALIBRATION
2011_09_28_drive_0021_sync,2011_09_28,199,train,CALIBRATION
2011_09_28_drive_0054_sync,2011_09_28,35,train,CALIBRATION
2011_09_28_drive_0066_sync,2011_09_28,19,train,CALIBRATION
2011_09_28_drive_0080_sync,2011_09_28,30,train,CALIBRATION
2011_09_28_drive_0086_sync,2011_09_28,20,train,CALIBRATION
2011_09_28_drive_0108_sync,2011_09_28,38,train,CALIBRATION
2011_09_28_drive_0113_sync,2011_09_28,64,train,CALIBRATION
2011_09_28_drive_0128_sync,2011_09_28,19,train,CALIBRATION
2011_09_28_drive_0146_sync,2011_09_28,61,train,CALIBRATION
2011_09_28_drive_0155_sync,2011_09_28,38,train,CALIBRATION
2011_09_28_drive_0166_sync,2011_09_28,29,train,CALIBRATION
2011_09_28_drive_0174_sync,2011_09_28,44,train,CALIBRATION
2011_09_28_drive_0177_sync,2011_09_28,68,train,CALIBRATION
2011_09_28_drive_0184_sync,2011_09_28,76,train,CALIBRATION
2011_09_28_drive_0185_sync,2011_09_28,70,train,CALIBRATION
2011_09_29_drive_0004_sync,2011_09_29,329,train,CALIBRATION
2011_09_30_drive_0033_sync,2011_09_30,1584,train,CALIBRATION
2011_09_26_drive_0002_sync,2011_09_26,67,val,DEV
2011_09_26_drive_0005_sync,2011_09_26,144,val,DEV
2011_09_26_drive_0013_sync,2011_09_26,134,val,DEV
2011_09_26_drive_0020_sync,2011_09_26,76,val,DEV
2011_09_26_drive_0023_sync,2011_09_26,464,val,DEV
2011_09_26_drive_0036_sync,2011_09_26,793,val,DEV
2011_09_26_drive_0079_sync,2011_09_26,90,val,DEV
2011_09_26_drive_0095_sync,2011_09_26,258,val,DEV
2011_09_26_drive_0113_sync,2011_09_26,77,val,DEV
2011_09_28_drive_0037_sync,2011_09_28,79,val,DEV
2011_09_29_drive_0026_sync,2011_09_29,148,val,DEV
2011_09_30_drive_0016_sync,2011_09_30,269,val,DEV
2011_10_03_drive_0047_sync,2011_10_03,827,val,DEV
2011_09_26_drive_0017_sync,2011_09_26,104,train,LOCKED_TEST
2011_09_26_drive_0035_sync,2011_09_26,121,train,LOCKED_TEST
2011_09_26_drive_0048_sync,2011_09_26,12,train,LOCKED_TEST
2011_09_26_drive_0093_sync,2011_09_26,423,train,LOCKED_TEST
2011_09_26_drive_0096_sync,2011_09_26,465,train,LOCKED_TEST
2011_09_26_drive_0106_sync,2011_09_26,217,train,LOCKED_TEST
2011_09_28_drive_0002_sync,2011_09_28,366,train,LOCKED_TEST
2011_09_28_drive_0053_sync,2011_09_28,58,train,LOCKED_TEST
2011_09_28_drive_0070_sync,2011_09_28,29,train,LOCKED_TEST
2011_09_28_drive_0098_sync,2011_09_28,34,train,LOCKED_TEST
2011_09_28_drive_0104_sync,2011_09_28,34,train,LOCKED_TEST
2011_09_28_drive_0183_sync,2011_09_28,29,train,LOCKED_TEST
2011_09_28_drive_0195_sync,2011_09_28,29,train,LOCKED_TEST
2011_09_30_drive_0034_sync,2011_09_30,1214,train,LOCKED_TEST
2011_10_03_drive_0042_sync,2011_10_03,1160,train,LOCKED_TEST
2011_09_26_drive_0001_sync,2011_09_26,98,train,TRAIN
2011_09_26_drive_0009_sync,2011_09_26,433,train,TRAIN
2011_09_26_drive_0014_sync,2011_09_26,304,train,TRAIN
2011_09_26_drive_0015_sync,2011_09_26,287,train,TRAIN
2011_09_26_drive_0018_sync,2011_09_26,260,train,TRAIN
2011_09_26_drive_0019_sync,2011_09_26,471,train,TRAIN
2011_09_26_drive_0022_sync,2011_09_26,790,train,TRAIN
2011_09_26_drive_0027_sync,2011_09_26,178,train,TRAIN
2011_09_26_drive_0029_sync,2011_09_26,420,train,TRAIN
2011_09_26_drive_0039_sync,2011_09_26,385,train,TRAIN
2011_09_26_drive_0046_sync,2011_09_26,115,train,TRAIN
2011_09_26_drive_0051_sync,2011_09_26,428,train,TRAIN
2011_09_26_drive_0052_sync,2011_09_26,68,train,TRAIN
2011_09_26_drive_0056_sync,2011_09_26,284,train,TRAIN
2011_09_26_drive_0057_sync,2011_09_26,351,train,TRAIN
2011_09_26_drive_0059_sync,2011_09_26,363,train,TRAIN
2011_09_26_drive_0060_sync,2011_09_26,68,train,TRAIN
2011_09_26_drive_0061_sync,2011_09_26,693,train,TRAIN
2011_09_26_drive_0064_sync,2011_09_26,560,train,TRAIN
2011_09_26_drive_0070_sync,2011_09_26,410,train,TRAIN
2011_09_26_drive_0086_sync,2011_09_26,696,train,TRAIN
2011_09_26_drive_0087_sync,2011_09_26,719,train,TRAIN
2011_09_26_drive_0091_sync,2011_09_26,330,train,TRAIN
2011_09_26_drive_0101_sync,2011_09_26,926,train,TRAIN
2011_09_26_drive_0104_sync,2011_09_26,302,train,TRAIN
2011_09_26_drive_0117_sync,2011_09_26,650,train,TRAIN
2011_09_28_drive_0001_sync,2011_09_28,96,train,TRAIN
2011_09_28_drive_0034_sync,2011_09_28,39,train,TRAIN
2011_09_28_drive_0035_sync,2011_09_28,25,train,TRAIN
2011_09_28_drive_0038_sync,2011_09_28,100,train,TRAIN
2011_09_28_drive_0039_sync,2011_09_28,342,train,TRAIN
2011_09_28_drive_0043_sync,2011_09_28,135,train,TRAIN
2011_09_28_drive_0045_sync,2011_09_28,33,train,TRAIN
2011_09_28_drive_0047_sync,2011_09_28,21,train,TRAIN
2011_09_28_drive_0057_sync,2011_09_28,64,train,TRAIN
2011_09_28_drive_0065_sync,2011_09_28,29,train,TRAIN
2011_09_28_drive_0068_sync,2011_09_28,57,train,TRAIN
2011_09_28_drive_0071_sync,2011_09_28,33,train,TRAIN
2011_09_28_drive_0075_sync,2011_09_28,60,train,TRAIN
2011_09_28_drive_0077_sync,2011_09_28,32,train,TRAIN
2011_09_28_drive_0078_sync,2011_09_28,27,train,TRAIN
2011_09_28_drive_0082_sync,2011_09_28,65,train,TRAIN
2011_09_28_drive_0087_sync,2011_09_28,72,train,TRAIN
2011_09_28_drive_0089_sync,2011_09_28,28,train,TRAIN
2011_09_28_drive_0090_sync,2011_09_28,36,train,TRAIN
2011_09_28_drive_0094_sync,2011_09_28,76,train,TRAIN
2011_09_28_drive_0095_sync,2011_09_28,31,train,TRAIN
2011_09_28_drive_0096_sync,2011_09_28,35,train,TRAIN
2011_09_28_drive_0100_sync,2011_09_28,67,train,TRAIN
2011_09_28_drive_0102_sync,2011_09_28,36,train,TRAIN
2011_09_28_drive_0103_sync,2011_09_28,28,train,TRAIN
2011_09_28_drive_0106_sync,2011_09_28,65,train,TRAIN
2011_09_28_drive_0110_sync,2011_09_28,53,train,TRAIN
2011_09_28_drive_0117_sync,2011_09_28,26,train,TRAIN
2011_09_28_drive_0119_sync,2011_09_28,67,train,TRAIN
2011_09_28_drive_0121_sync,2011_09_28,36,train,TRAIN
2011_09_28_drive_0122_sync,2011_09_28,33,train,TRAIN
2011_09_28_drive_0125_sync,2011_09_28,49,train,TRAIN
2011_09_28_drive_0126_sync,2011_09_28,22,train,TRAIN
2011_09_28_drive_0132_sync,2011_09_28,63,train,TRAIN
2011_09_28_drive_0134_sync,2011_09_28,45,train,TRAIN
2011_09_28_drive_0135_sync,2011_09_28,32,train,TRAIN
2011_09_28_drive_0136_sync,2011_09_28,21,train,TRAIN
2011_09_28_drive_0138_sync,2011_09_28,58,train,TRAIN
2011_09_28_drive_0141_sync,2011_09_28,61,train,TRAIN
2011_09_28_drive_0143_sync,2011_09_28,22,train,TRAIN
2011_09_28_drive_0145_sync,2011_09_28,26,train,TRAIN
2011_09_28_drive_0149_sync,2011_09_28,36,train,TRAIN
2011_09_28_drive_0153_sync,2011_09_28,80,train,TRAIN
2011_09_28_drive_0154_sync,2011_09_28,33,train,TRAIN
2011_09_28_drive_0156_sync,2011_09_28,20,train,TRAIN
2011_09_28_drive_0160_sync,2011_09_28,31,train,TRAIN
2011_09_28_drive_0161_sync,2011_09_28,27,train,TRAIN
2011_09_28_drive_0162_sync,2011_09_28,28,train,TRAIN
2011_09_28_drive_0165_sync,2011_09_28,73,train,TRAIN
2011_09_28_drive_0167_sync,2011_09_28,44,train,TRAIN
2011_09_28_drive_0168_sync,2011_09_28,47,train,TRAIN
2011_09_28_drive_0171_sync,2011_09_28,18,train,TRAIN
2011_09_28_drive_0179_sync,2011_09_28,33,train,TRAIN
2011_09_28_drive_0186_sync,2011_09_28,31,train,TRAIN
2011_09_28_drive_0187_sync,2011_09_28,45,train,TRAIN
2011_09_28_drive_0191_sync,2011_09_28,28,train,TRAIN
2011_09_28_drive_0192_sync,2011_09_28,75,train,TRAIN
2011_09_28_drive_0198_sync,2011_09_28,53,train,TRAIN
2011_09_28_drive_0199_sync,2011_09_28,25,train,TRAIN
2011_09_28_drive_0201_sync,2011_09_28,73,train,TRAIN
2011_09_28_drive_0204_sync,2011_09_28,41,train,TRAIN
2011_09_28_drive_0205_sync,2011_09_28,25,train,TRAIN
2011_09_28_drive_0208_sync,2011_09_28,44,train,TRAIN
2011_09_28_drive_0209_sync,2011_09_28,76,train,TRAIN
2011_09_28_drive_0214_sync,2011_09_28,32,train,TRAIN
2011_09_28_drive_0216_sync,2011_09_28,49,train,TRAIN
2011_09_28_drive_0220_sync,2011_09_28,68,train,TRAIN
2011_09_28_drive_0222_sync,2011_09_28,44,train,TRAIN
2011_09_29_drive_0071_sync,2011_09_29,1049,train,TRAIN
2011_09_30_drive_0018_sync,2011_09_30,2752,train,TRAIN
2011_09_30_drive_0020_sync,2011_09_30,1094,train,TRAIN
